ard_millis,GPS Epoch Time,lat (deg),lat (min), long (deg),long (min),el (m),SOG (mm/s),COG (deg*1000),Vert Vel (mm/s)
375054,1489675488.20,-122,-2957307,37,3030598,-36.32,2157,62980,310
375451,1489675488.60,-122,-2957249,37,3030621,-36.23,2416,62950,209
375851,1489675489.00,-122,-2957186,37,3030645,-36.00,2589,64210,5
376244,1489675489.40,-122,-2957112,37,3030679,-35.96,3152,61500,-151
376635,1489675489.80,-122,-2957023,37,3030716,-36.00,3745,62050,-118
377057,1489675490.20,-122,-2956921,37,3030755,-36.01,4088,63460,-84
377446,1489675490.60,-122,-2956816,37,3030797,-36.03,4408,62610,98
377847,1489675491.00,-122,-2956705,37,3030837,-35.93,4514,63260,-16
378243,1489675491.40,-122,-2956596,37,3030883,-35.60,4667,62710,39
378634,1489675491.80,-122,-2956474,37,3030939,-35.76,5247,61080,-15
379045,1489675492.20,-122,-2956345,37,3031000,-35.74,5516,60280,-16
379432,1489675492.60,-122,-2956216,37,3031060,-35.66,5561,60320,132
379852,1489675493.00,-122,-2956080,37,3031124,-35.55,5956,59770,67
380237,1489675493.40,-122,-2955937,37,3031186,-35.44,5988,60940,-25
380647,1489675493.80,-122,-2955789,37,3031253,-35.38,6327,60480,-34
381036,1489675494.20,-122,-2955638,37,3031315,-35.36,6467,61430,-98
381448,1489675494.60,-122,-2955479,37,3031383,-35.24,6822,61420,-136
381841,1489675495.00,-122,-2955311,37,3031456,-35.10,7198,61760,-212
382224,1489675495.40,-122,-2955134,37,3031525,-35.06,7411,63130,-195
382627,1489675495.80,-122,-2954947,37,3031595,-35.05,7833,63940,-76
383031,1489675496.20,-122,-2954753,37,3031664,-34.99,8021,65620,-38
383426,1489675496.60,-122,-2954550,37,3031736,-35.06,8297,66340,12
383850,1489675497.00,-122,-2954339,37,3031808,-35.15,8522,67550,-1
384223,1489675497.40,-122,-2954116,37,3031883,-35.19,8861,68700,4
384624,1489675497.80,-122,-2953883,37,3031958,-35.04,9081,69460,61
385024,1489675498.20,-122,-2953641,37,3032026,-34.91,9344,70890,148
385431,1489675498.60,-122,-2953399,37,3032093,-34.46,9454,70600,-46
385826,1489675499.00,-122,-2953147,37,3032145,-34.26,9822,72740,89
386215,1489675499.40,-122,-2952893,37,3032212,-34.21,9953,71890,-79
386631,1489675499.80,-122,-2952631,37,3032254,-33.58,10247,73240,-178
387020,1489675500.20,-122,-2952365,37,3032309,-33.20,10428,73470,-192
387416,1489675500.60,-122,-2952090,37,3032368,-33.13,10676,75430,-80
387831,1489675501.00,-122,-2951810,37,3032425,-33.01,10818,76170,-174
388218,1489675501.40,-122,-2951525,37,3032478,-32.94,10909,76850,-83
388628,1489675501.80,-122,-2951233,37,3032532,-32.63,11196,76320,-255
389015,1489675502.20,-122,-2950931,37,3032585,-32.41,11517,77270,-110
389429,1489675502.60,-122,-2950623,37,3032642,-32.36,11684,77470,-127
389828,1489675503.00,-122,-2950310,37,3032694,-32.24,11821,77920,-135
390217,1489675503.40,-122,-2949997,37,3032750,-32.09,11891,77400,-188
390621,1489675503.80,-122,-2949678,37,3032810,-32.12,12115,76990,-160
391002,1489675504.20,-122,-2949360,37,3032873,-32.07,12097,76960,-192
